n,train_precision_pos,train_recall_pos,train_f1_pos,dev_precision_pos,dev_recall_pos,dev_f1_pos
10,0.5555555555555556,1.0,0.7142857142857143,0.65625,1.0,0.7924528301886793
50,0.5813953488372093,1.0,0.7352941176470589,0.65625,1.0,0.7924528301886793
160,0.6015037593984962,1.0,0.7511737089201878,0.65625,1.0,0.7924528301886793
